dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,73734,14,4,0.2857142857142857,0.3,0.4,0.10000000000000003,-0.29735517501831055,-0.12004542350769043,0.17730975151062012,0.0,nan
amazon-toys-and-games,valid,73929,13,3,0.23076923076923078,0.65,0.3,-0.35000000000000003,1.0130772590637207,0.7917180061340332,-0.2213592529296875,0.07692307692307693,-0.15
amazon-toys-and-games,valid,78998,39,29,0.7435897435897436,0.95,0.725,-0.22499999999999998,1.5165224075317383,2.1479148864746094,0.6313924789428711,0.23076923076923078,-0.06666666666666668
amazon-toys-and-games,valid,80689,34,24,0.7058823529411765,0.45,0.975,0.5249999999999999,2.716421365737915,1.2433478832244873,-1.4730734825134277,0.23529411764705882,-0.037500000000000006
amazon-toys-and-games,valid,82613,19,9,0.47368421052631576,0.25,0.3,0.04999999999999999,-0.9064189195632935,-0.7191567420959473,0.1872621774673462,0.21052631578947367,-0.11249999999999999
amazon-toys-and-games,valid,86587,20,10,0.5,1.0,1.0,0.0,4.415228843688965,4.296331405639648,-0.1188974380493164,0.05,-0.05
amazon-toys-and-games,valid,87057,27,17,0.6296296296296297,0.65,1.0,0.35,0.9676074981689453,1.0377347469329834,0.07012724876403809,0.2222222222222222,-0.06666666666666667
amazon-toys-and-games,valid,87602,27,17,0.6296296296296297,0.95,0.95,0.0,1.233626127243042,0.9149739742279053,-0.3186521530151367,0.2222222222222222,-0.05833333333333333
amazon-toys-and-games,valid,88544,13,3,0.23076923076923078,0.75,0.475,-0.275,5.85589599609375,4.859957695007324,-0.9959383010864258,0.0,nan
amazon-toys-and-games,valid,96145,49,39,0.7959183673469388,0.1,0.45,0.35,-0.4637331962585449,-1.1783573627471924,-0.7146241664886475,0.46938775510204084,-0.04565217391304349
amazon-toys-and-games,valid,105156,16,6,0.375,0.95,0.65,-0.29999999999999993,1.1414716243743896,1.253129005432129,0.11165738105773926,0.1875,-0.016666666666666666
amazon-toys-and-games,valid,106359,11,1,0.09090909090909091,1.0,0.5,-0.5,2.2866320610046387,2.277658462524414,-0.00897359848022461,0.09090909090909091,-0.05
amazon-toys-and-games,valid,106721,12,2,0.16666666666666666,1.0,0.375,-0.625,4.445719242095947,4.687304496765137,0.24158525466918945,0.0,nan
amazon-toys-and-games,valid,112069,18,8,0.4444444444444444,0.6,0.4,-0.19999999999999996,0.7528606653213501,0.7503046989440918,-0.0025559663772583008,0.3333333333333333,-0.05000000000000001
amazon-toys-and-games,valid,112139,13,3,0.23076923076923078,0.8,0.875,0.07499999999999996,-0.6665520668029785,-0.2515439987182617,0.4150080680847168,0.07692307692307693,-0.2
amazon-toys-and-games,valid,113065,11,1,0.09090909090909091,0.15,0.975,0.825,-0.9982154965400696,-1.0337512493133545,-0.03553575277328491,0.09090909090909091,0.7
amazon-toys-and-games,valid,114228,27,17,0.6296296296296297,1.0,0.95,-0.050000000000000044,0.9601097106933594,1.340263843536377,0.3801541328430176,0.14814814814814814,0.625
amazon-toys-and-games,valid,116607,12,2,0.16666666666666666,0.3,0.375,0.07500000000000001,-1.2314571142196655,-1.1773065328598022,0.05415058135986328,0.08333333333333333,-0.35
amazon-toys-and-games,valid,117845,12,2,0.16666666666666666,1.0,1.0,0.0,8.507490158081055,8.339082717895508,-0.16840744018554688,0.0,nan
amazon-toys-and-games,valid,119345,17,7,0.4117647058823529,0.5,0.35,-0.15000000000000002,0.7211711406707764,0.378892183303833,-0.34227895736694336,0.23529411764705882,-0.05
amazon-toys-and-games,valid,122232,19,9,0.47368421052631576,0.05,0.5,0.45,-0.7330210208892822,-0.7911346554756165,-0.05811363458633423,0.47368421052631576,-0.022222222222222223
amazon-toys-and-games,valid,123925,11,1,0.09090909090909091,0.85,0.45,-0.39999999999999997,4.3548736572265625,4.169489860534668,-0.18538379669189453,0.0,nan
amazon-toys-and-games,valid,127933,12,2,0.16666666666666666,0.35,0.9,0.55,-0.3177192211151123,-0.4136817455291748,-0.0959625244140625,0.0,nan
amazon-toys-and-games,valid,129596,24,14,0.5833333333333334,0.5,0.35,-0.15000000000000002,3.311554431915283,1.852259635925293,-1.4592947959899902,0.375,-0.07777777777777778
amazon-toys-and-games,valid,131359,30,20,0.6666666666666666,1.0,0.675,-0.32499999999999996,0.9697813987731934,0.8737244606018066,-0.09605693817138672,0.36666666666666664,-0.03181818181818182
amazon-toys-and-games,valid,136756,12,2,0.16666666666666666,0.8,0.4,-0.4,0.44489216804504395,0.44175028800964355,-0.0031418800354003906,0.08333333333333333,-0.1
amazon-toys-and-games,valid,138304,11,1,0.09090909090909091,0.7,0.5,-0.19999999999999996,2.256638765335083,2.1941943168640137,-0.062444448471069336,0.09090909090909091,0.0
amazon-toys-and-games,valid,138680,11,1,0.09090909090909091,0.45,0.5,0.04999999999999999,0.7218911647796631,0.6875858306884766,-0.03430533409118652,0.09090909090909091,0.0
amazon-toys-and-games,valid,142854,31,21,0.6774193548387096,0.6,0.9,0.30000000000000004,-0.07883214950561523,0.35616254806518555,0.4349946975708008,0.2903225806451613,-0.061111111111111116
amazon-toys-and-games,valid,142998,14,4,0.2857142857142857,0.7,0.75,0.050000000000000044,2.043473720550537,1.5999011993408203,-0.4435725212097168,0.14285714285714285,0.35
amazon-toys-and-games,valid,143658,11,1,0.09090909090909091,0.5,0.475,-0.025000000000000022,3.809596061706543,3.5408949851989746,-0.26870107650756836,0.09090909090909091,-0.05
amazon-toys-and-games,valid,144282,11,1,0.09090909090909091,0.1,0.5,0.4,-0.10215401649475098,-0.27409374713897705,-0.17193973064422607,0.0,nan
amazon-toys-and-games,valid,146735,35,25,0.7142857142857143,0.9,0.75,-0.15000000000000002,0.951524019241333,1.5024943351745605,0.5509703159332275,0.42857142857142855,-0.06333333333333334
amazon-toys-and-games,valid,147857,13,3,0.23076923076923078,0.75,0.875,0.125,-0.33806800842285156,-0.03662896156311035,0.3014390468597412,0.07692307692307693,-0.15
amazon-toys-and-games,valid,150174,40,30,0.75,0.5,0.875,0.375,-0.3394320011138916,0.22957277297973633,0.5690047740936279,0.25,-0.09
amazon-toys-and-games,valid,153047,18,8,0.4444444444444444,0.05,0.75,0.7,-0.54712975025177,-1.2462955713272095,-0.6991658210754395,0.2777777777777778,0.19
amazon-toys-and-games,valid,155771,17,7,0.4117647058823529,0.95,0.975,0.025000000000000022,5.865567684173584,5.206352710723877,-0.659214973449707,0.11764705882352941,-0.1
