dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,147857,13,3,0.23076923076923078,0.35,0.325,-0.048080772161483765,-0.03716948628425598,0.010911285877227783,0.07692307692307693,-0.3
amazon-toys-and-games,valid,150174,40,30,0.75,0.7,0.8,-0.006297886371612549,0.03677280247211456,0.04307068884372711,0.275,-0.15909090909090912
amazon-toys-and-games,valid,153047,18,8,0.4444444444444444,0.2,0.375,-0.014965906739234924,-0.046787381172180176,-0.03182147443294525,0.2777777777777778,-0.07999999999999999
amazon-toys-and-games,valid,155771,17,7,0.4117647058823529,0.9,0.95,0.3406185507774353,0.3009227216243744,-0.03969582915306091,0.11764705882352941,-0.075
amazon-toys-and-games,valid,158859,17,7,0.4117647058823529,0.75,0.725,0.023168370127677917,0.027059495449066162,0.0038911253213882446,0.23529411764705882,0.14999999999999997
amazon-toys-and-games,valid,161581,12,2,0.16666666666666666,0.3,0.4,0.2276688814163208,0.19145825505256653,-0.03621062636375427,0.16666666666666666,0.0
amazon-toys-and-games,valid,163621,21,11,0.5238095238095238,1.0,0.975,0.5310742855072021,0.5072869062423706,-0.023787379264831543,0.09523809523809523,-0.05
amazon-toys-and-games,valid,164459,15,5,0.3333333333333333,0.75,0.325,0.10500532388687134,0.1096780002117157,0.00467267632484436,0.06666666666666667,-0.2
amazon-toys-and-games,valid,167507,19,9,0.47368421052631576,0.05,0.275,-0.12073445320129395,-0.13387560844421387,-0.013141155242919922,0.21052631578947367,-0.07500000000000001
amazon-toys-and-games,valid,171168,19,9,0.47368421052631576,0.9,0.65,0.110147625207901,0.11150535941123962,0.001357734203338623,0.10526315789473684,-0.025
amazon-toys-and-games,valid,172806,15,5,0.3333333333333333,0.8,0.5,0.06413057446479797,0.0572148859500885,-0.006915688514709473,0.0,nan
amazon-toys-and-games,valid,173935,24,14,0.5833333333333334,0.6,0.275,0.22122284770011902,0.12552019953727722,-0.0957026481628418,0.3333333333333333,-0.018750000000000003
amazon-toys-and-games,valid,174981,12,2,0.16666666666666666,0.6,0.475,-0.059776172041893005,-0.05054381489753723,0.009232357144355774,0.08333333333333333,-0.1
amazon-toys-and-games,valid,175939,14,4,0.2857142857142857,1.0,0.925,0.03155502676963806,0.08608588576316833,0.05453085899353027,0.07142857142857142,-0.05
amazon-toys-and-games,valid,178261,22,12,0.5454545454545454,0.65,0.275,0.0693361759185791,0.06956398487091064,0.00022780895233154297,0.22727272727272727,-0.07999999999999999
amazon-toys-and-games,valid,181743,11,1,0.09090909090909091,0.75,0.425,-0.0017864853143692017,0.0012801289558410645,0.003066614270210266,0.09090909090909091,-0.1
amazon-toys-and-games,valid,184717,56,46,0.8214285714285714,0.8,0.7,0.09384363889694214,0.13548073172569275,0.04163709282875061,0.26785714285714285,0.04333333333333333
